Index, Type, Type(name), PhysicalStart, NumberOfPages, Attribute
 0, 3, EfiBootServicesCode      , 0000000000000000, 1, F
 1, 7, EfiConventionalMemory    , 0000000000001000, 9F, F
 2, 7, EfiConventionalMemory    , 0000000000100000, 700, F
 3, A, EfiACPIMemoryNVS         , 0000000000800000, 8, F
 4, 7, EfiConventionalMemory    , 0000000000808000, 3, F
 5, A, EfiACPIMemoryNVS         , 000000000080B000, 1, F
 6, 7, EfiConventionalMemory    , 000000000080C000, 4, F
 7, A, EfiACPIMemoryNVS         , 0000000000810000, F0, F
 8, 4, EfiBootServicesData      , 0000000000900000, E80, F
 9, 7, EfiConventionalMemory    , 0000000001780000, 23F5, F
10, 4, EfiBootServicesData      , 0000000003B75000, 20, F
11, 7, EfiConventionalMemory    , 0000000003B95000, 2542, F
12, 1, EfiLoaderCode            , 00000000060D7000, 2, F
13, 7, EfiConventionalMemory    , 00000000060D9000, 2, F
14, 4, EfiBootServicesData      , 00000000060DB000, E2, F
15, 7, EfiConventionalMemory    , 00000000061BD000, 1, F
16, 4, EfiBootServicesData      , 00000000061BE000, 4B6, F
17, 3, EfiBootServicesCode      , 0000000006674000, 195, F
18, 4, EfiBootServicesData      , 0000000006809000, 8D, F
19, 3, EfiBootServicesCode      , 0000000006896000, 9, F
20, 4, EfiBootServicesData      , 000000000689F000, 5, F
21, 3, EfiBootServicesCode      , 00000000068A4000, A, F
22, 4, EfiBootServicesData      , 00000000068AE000, 2, F
23, 3, EfiBootServicesCode      , 00000000068B0000, A, F
24, 4, EfiBootServicesData      , 00000000068BA000, 1, F
25, 3, EfiBootServicesCode      , 00000000068BB000, 8, F
26, 4, EfiBootServicesData      , 00000000068C3000, 4, F
27, 3, EfiBootServicesCode      , 00000000068C7000, 3, F
28, 4, EfiBootServicesData      , 00000000068CA000, 20, F
29, 3, EfiBootServicesCode      , 00000000068EA000, 6, F
30, 4, EfiBootServicesData      , 00000000068F0000, 6, F
31, 3, EfiBootServicesCode      , 00000000068F6000, 6, F
32, 4, EfiBootServicesData      , 00000000068FC000, 2, F
33, 3, EfiBootServicesCode      , 00000000068FE000, D, F
34, 4, EfiBootServicesData      , 000000000690B000, 5, F
35, 3, EfiBootServicesCode      , 0000000006910000, D, F
36, 4, EfiBootServicesData      , 000000000691D000, 3, F
37, 3, EfiBootServicesCode      , 0000000006920000, C, F
38, 4, EfiBootServicesData      , 000000000692C000, 1, F
39, 3, EfiBootServicesCode      , 000000000692D000, 3, F
40, 4, EfiBootServicesData      , 0000000006930000, 2, F
41, 3, EfiBootServicesCode      , 0000000006932000, 8, F
42, 4, EfiBootServicesData      , 000000000693A000, 3, F
43, 3, EfiBootServicesCode      , 000000000693D000, 6, F
44, 4, EfiBootServicesData      , 0000000006943000, 2, F
45, 3, EfiBootServicesCode      , 0000000006945000, B, F
46, 4, EfiBootServicesData      , 0000000006950000, 3, F
47, 3, EfiBootServicesCode      , 0000000006953000, D, F
48, 4, EfiBootServicesData      , 0000000006960000, 2, F
49, 3, EfiBootServicesCode      , 0000000006962000, 1F, F
50, 4, EfiBootServicesData      , 0000000006981000, 1, F
51, 3, EfiBootServicesCode      , 0000000006982000, 3, F
52, 4, EfiBootServicesData      , 0000000006985000, 3, F
53, 3, EfiBootServicesCode      , 0000000006988000, 4, F
54, 4, EfiBootServicesData      , 000000000698C000, 1, F
55, 3, EfiBootServicesCode      , 000000000698D000, 1, F
56, 4, EfiBootServicesData      , 000000000698E000, 2, F
57, 3, EfiBootServicesCode      , 0000000006990000, 15, F
58, 4, EfiBootServicesData      , 00000000069A5000, 3, F
59, 3, EfiBootServicesCode      , 00000000069A8000, 2, F
60, 4, EfiBootServicesData      , 00000000069AA000, 2, F
61, 3, EfiBootServicesCode      , 00000000069AC000, 7, F
62, 4, EfiBootServicesData      , 00000000069B3000, 7, F
63, 3, EfiBootServicesCode      , 00000000069BA000, 16, F
